Date,Open,High,Low,Close,Adj Close,Volume
2021-08-17,255.639999,256.589996,253.210007,254.550003,254.550003,457279
2021-08-18,254.550003,258.609985,254.220001,256.500000,256.500000,859903
2021-08-19,257.399994,260.489990,257.230011,260.390015,260.390015,522722
2021-08-20,261.380005,262.989990,259.170013,259.790009,259.790009,537611
2021-08-23,259.790009,263.250000,259.200012,263.089996,263.089996,132845
2021-08-24,260.510010,261.040009,256.089996,257.649994,257.649994,302528
2021-08-25,256.290009,257.170013,254.589996,254.699997,254.699997,204407
2021-08-26,256.000000,256.350006,255.070007,255.460007,255.460007,272168
2021-08-27,255.059998,256.059998,254.339996,255.449997,255.449997,280685
2021-08-30,255.460007,256.790009,255.250000,256.000000,256.000000,841887
2021-08-31,254.889999,255.100006,251.850006,254.000000,254.000000,459242
2021-09-01,254.000000,256.489990,253.449997,256.489990,256.489990,368994
2021-09-02,256.140015,257.000000,253.970001,255.199997,255.199997,485839
2021-09-03,0.000000,0.000000,0.000000,256.500000,256.500000,0
